3.54,2.11,0,0,0,-1,1,-1,0,0,1,0
2.42,3.14,0,0,0,-2,0,-1,0,0,0,-1
1.94,4.29,-1,1,2,0,0,-3,1,0,0,-2
2.37,3.11,0,0,0,-1,0,-1,0,0,0,-1
1.79,4.61,-1,1,0,0,1,0,0,0,0,0
1.74,5.05,-1,1,1,-1,1,0,0,-1,0,0
1.47,7.12,-1,1,0,0,2,-2,0,0,0,-2
3.14,2.34,0,0,0,0,0,-1,0,0,0,0
2.86,2.59,0,0,0,-2,0,-1,0,0,0,-1
2.07,3.66,0,0,0,-2,0,-1,0,-2,0,0
1.8,4.73,-1,1,0,-1,0,-1,0,-1,0,0
3.37,2.21,0,0,0,-1,2,-3,0,-1,2,0
2.04,3.98,0,0,0,-1,0,-1,0,-1,0,-1
2.66,2.88,0,0,0,-1,0,-1,0,-1,0,0
1.95,4.23,-1,1,2,-1,0,-1,1,-1,0,-1
1.9,4.3,-1,1,0,-1,0,-3,0,-1,0,-2
2.7,2.7,0,0,0,0,1,-1,0,0,1,0
2.32,3.24,0,0,0,0,0,0,0,0,0,0
3.34,2.16,0,0,0,-1,0,0,0,0,0,0
1.22,13.08,-2,2,1,-2,2,-2,0,-2,0,-2
2.3,3.27,0,0,0,-2,0,-1,0,0,0,-1
3,2.55,0,0,0,-1,0,-1,0,0,0,-1
3.14,2.34,0,0,0,-1,1,-2,0,-1,1,0
1.91,4.19,-1,1,0,-1,1,-1,0,-1,0,-1
2.27,3.25,0,0,0,-2,0,-1,0,0,0,-2
2.24,3.17,0,0,0,-1,1,-3,0,-2,1,0
7.15,1.51,1,-1,1,-3,0,0,2,0,0,0
1.99,3.89,-1,1,0,0,0,-2,0,0,0,0
1.95,4.19,-1,1,0,0,0,-1,0,0,0,-1
2.49,3.08,0,0,0,-1,0,-1,0,-1,0,0
2.45,3.15,0,0,0,0,1,-2,0,0,1,0
2.5,3.1,0,0,0,-1,0,-1,0,0,0,-1
1.77,4.73,-1,1,0,-1,0,0,0,-1,0,0
3.56,2.18,0,0,0,-2,0,-1,0,-1,0,0
2.96,2.54,0,0,0,0,0,0,0,0,0,0
3.25,2.3,0,0,1,-2,0,-1,1,0,0,0
2.98,2.55,0,0,0,-1,0,-2,0,0,0,-1
3.11,2.31,0,0,0,-1,0,-2,0,0,0,0
4.69,1.78,1,-1,0,-1,0,0,0,0,0,0
1.8,4.89,-1,1,0,-1,0,0,0,-1,0,0
2.46,2.82,0,0,0,0,0,-1,0,0,0,0
2.72,2.9,0,0,0,-1,0,0,0,-1,0,0
3.82,1.99,0,0,1,-2,0,-1,1,0,0,0
2.99,2.45,0,0,0,0,0,0,0,0,0,0
1.65,5.43,-1,1,0,-1,0,0,0,-1,0,0
1.77,4.76,-1,1,0,0,0,-1,0,0,0,-1
2.05,3.94,0,0,0,0,0,0,0,0,0,0
3.1,2.43,0,0,0,-1,1,0,0,0,1,0
2.61,2.86,0,0,0,-1,0,0,0,0,0,-1
1.98,3.82,-1,1,0,0,0,-1,0,-2,0,0
1.8,4.64,-1,1,1,0,0,0,0,0,0,0
3.95,1.98,1,-1,0,0,0,-1,0,-1,0,0
2.37,3.06,0,0,0,0,0,0,0,-1,0,0
2.05,3.74,0,0,0,0,0,0,0,0,0,-1
2.49,2.98,0,0,0,0,0,0,0,-1,0,0
2.3,3.46,0,0,0,0,0,-1,0,0,0,0
2.11,3.58,0,0,0,-1,0,0,0,0,0,0
2.36,3.19,0,0,0,-1,1,0,0,0,0,-1
1.65,5.55,-1,1,0,0,0,0,0,0,0,-2
2.05,3.92,0,0,0,0,0,0,0,0,0,-1
2.21,3.41,0,0,0,0,0,-2,0,0,0,-2
3.09,2.52,0,0,0,-3,0,-3,0,-2,0,0
1.99,3.72,0,0,0,-2,0,-2,0,-2,0,-2
2.03,3.67,0,0,1,-5,1,-2,0,-5,1,-1
3.02,2.54,0,0,1,-2,2,-4,1,-2,1,-1
4.12,1.89,1,-1,1,-2,1,-3,1,-1,1,0
2.38,3.07,0,0,0,-2,0,-3,0,0,0,-2
1.76,4.82,-1,1,1,-2,0,-2,0,-2,0,-2
2.2,3.43,0,0,0,-3,1,-5,0,0,0,-4
1.86,4.43,-1,1,3,-4,0,-2,0,-4,0,-1
1.67,5.55,-1,1,0,-1,3,-6,0,-1,0,-6
3.57,2.08,0,0,1,-3,0,-1,1,0,0,-1
2.91,2.56,0,0,0,-3,1,-2,0,0,0,-1
1.81,4.52,-1,1,2,-3,0,-3,0,-3,0,-1
6.64,1.5,1,-1,3,-7,2,-5,3,0,3,0
4.08,1.93,1,-1,0,-2,1,-2,0,0,1,0
1.95,4.26,-1,1,0,-3,0,-3,0,-3,0,-3
3.65,2.02,0,0,1,-4,0,-2,1,-1,0,0
2.32,3.12,0,0,0,-2,0,-2,0,0,0,-2
2.61,2.86,0,0,0,-2,0,-2,0,-1,0,0
2.49,3.07,0,0,0,-1,1,-2,0,0,0,0
2.84,2.62,0,0,0,-2,1,-5,0,-1,1,0
2.62,3.01,0,0,2,-4,0,0,1,-3,0,0
1.74,4.84,-1,1,1,-2,1,-3,0,-1,0,-3
2.15,3.39,0,0,1,-2,1,-4,1,0,0,-4
3.04,2.39,0,0,0,-3,1,-5,0,-3,1,0
3.17,2.27,0,0,4,-6,0,-3,4,0,0,-3
2.61,2.96,0,0,1,-4,1,-2,1,-1,0,-1
3.3,2.27,0,0,0,-2,3,-4,0,0,3,0
2.77,2.61,0,0,0,-1,0,-1,0,0,0,0
1.68,5.19,-1,1,2,-4,0,-2,0,-4,0,0
